Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Vivo,78752,06/15/2022,66,"6406 N IH
AUSTIN, TX 78752",11223207,Routine Inspection
McDonald's,78723,07/02/2020,100,"5355 N IH
AUSTIN, TX 78723",2801549,Routine Inspection
Star Seeds Cafe,78722,12/13/2021,85,"3101 N IH
AUSTIN, TX 78722",2801964,Routine Inspection
Pho Thai Son,78748,07/30/2021,81,"9500 S IH
AUSTIN, TX 78748",10036105,Routine Inspection
Riverside Grocery,78701,03/02/2021,93,"30 N IH
AUSTIN, TX 78701",2803648,Routine Inspection
Texas Land & Cattle,78745,10/13/2021,98,"5510 S IH
AUSTIN, TX 78745",11960966,Routine Inspection
Stop 71,78735,04/13/2022,79,"8314 W SH
AUSTIN, TX 78735",2803909,Routine Inspection
Pizza Hut,78745,05/26/2021,97,"5510 S IH
AUSTIN, TX 78745",10181716,Routine Inspection
Jack Allen's Kitchen,78735,01/07/2022,90,"7720 W SH
AUSTIN, TX 78735",10377371,Routine Inspection
Fiesta Mart #25 (Seafood/Deli),78722,06/25/2020,92,"3909 N IH
AUSTIN, TX 78722",11377963,Routine Inspection
Mucho's,78752,01/09/2023,95,"7509 N IH
AUSTIN, TX 78752",2803912,Routine Inspection
McDonalds  #31246,78748,03/16/2020,84,"9300 S IH
AUSTIN, TX 78748",2802661,Routine Inspection
Double Dave's Pizzaworks,78746,07/21/2022,98,"8947 FM 2244 RD
AUSTIN, TX 78746",11714231,Routine Inspection
"Donut Hole, The",78734,04/28/2020,97,"1700 N FM 620 RD
AUSTIN, TX 78734",11289602,Routine Inspection
AFS Cinema,78752,12/29/2021,98,"6406 N IH
AUSTIN, TX 78752",11529194,Routine Inspection
City Star Food,78702,04/15/2021,88,"31 N IH
AUSTIN, TX 78702",2803861,Routine Inspection
Tucci's Southside Subs,78736,09/17/2020,99,"7101 W SH
AUSTIN, TX 78736",2803090,Routine Inspection
Jaipur Palace,78748,06/10/2021,80,"9900 S IH
AUSTIN, TX 78748",12086983,Routine Inspection
Buffalo Wild Wings #621,78753,05/14/2020,91,"13000 N IH
AUSTIN, TX 78753",11398806,Routine Inspection
Red Robin,78753,03/15/2021,86,"13000 N IH
AUSTIN, TX 78753",11500601,Routine Inspection
LW - LT CORNER PUB,78734,02/25/2022,90,"1310 S FM 620 RD
LAKEWAY, TX 78734",11618406,Routine Inspection
Club Miami,78660,07/29/2022,87,"15505 N IH
SVRD NB AUSTIN, TX 78660",12186434,Routine Inspection
Thai Taste,78735,11/01/2021,87,"7010 W SH
AUSTIN, TX 78735",12186538,Routine Inspection
Wingstop #1664,78748,11/07/2022,88,"9600 S IH
AUSTIN, TX 78748",12186656,Routine Inspection
PF - Hiwot Injera,78660,03/10/2021,97,"616 FM
PFLUGERVILLE, TX 78660",12392331,Routine Inspection
GattiTown # 2006,78748,10/11/2022,79,"9900 S IH
AUSTIN, TX 78748",12393409,Routine Inspection
Capriotti's,78751,10/28/2021,100,"5610 N IH
SVRD SB AUSTIN, TX 78751",12394371,Routine Inspection
Seareinas,78752,04/21/2022,58,"6607 N IH
AUSTIN, TX 78752",12394506,Routine Inspection
Barley Swine,78757,10/20/2021,94,"6555 BURNET RD
AUSTIN, TX 78757
(30.34132, -97.73801)",11462795,Routine Inspection
Applebee's,78735,11/09/2022,92,"5010 W US 290 HWY
AUSTIN, TX 78735
(30.23492, -97.82157)",10870106,Routine Inspection
Vamonos,78751,06/18/2020,85,"4807 AIRPORT BLVD
AUSTIN, TX 78751
(30.30858, -97.71541)",12146828,Routine Inspection
El Buen Samaritano Episcopal Mission,78745,08/17/2020,89,"7000 WOODHUE DR
AUSTIN, TX 78745
(30.19871, -97.80044)",10524891,Routine Inspection
La Buena Market,78753,11/24/2020,90,"10014 N LAMAR BLVD
AUSTIN, TX 78753
(30.37012, -97.69339)",12186241,Routine Inspection
Domino's,78701,12/01/2020,99,"311 W 5TH ST
AUSTIN, TX 78701
(30.26804, -97.74639)",12393068,Routine Inspection
Flyrite Chicken,78702,08/06/2021,90,"2129 E 7TH ST
AUSTIN, TX 78702
(30.26137, -97.71835)",11450436,Routine Inspection
