EstablishmentID,InspectionDate,InspectionID,EstTypeDesc,premise_name,premise_adr1_num,premise_adr1_street,premise_city,premise_state,premise_zip,InspectionType,score,InspTypeSpecificViolID,ViolationDesc,critical_yn,Insp_Viol_Comments,rpt_area_id,ObjectId
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,"Potentially hazardous food requiring refrigeration not rapidly cooled to an internal temperature of 41 degrees Fahrenheit or below. (soup) (discarded)  Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service. (cooler holding meat, and cheeses at 49-51 degrees F) (corrected)  ",605,1
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,6,Potentially hazardous food properly thawed,No,Improper thawing methods being used for potentially hazardous foods.  ,605,2
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,33,"TOXIC ITEMS PROPERLY STORED, LABELED, USED",Yes,"Toxic items not properly stored. (next to food preperation, food storage and single service storage)  ",605,3
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,8,"Food Protection - storage, prep, display, service, transp.",No,Food not stored at least 6`` off the floor.  Food not protected during storage. (raw eggs stored over produce)  ,605,4
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,11,"HANDS WASHED AND CLEAN,HYGIENIC PRACTICES PREVENTING CONTAMINATION FROM HANDS",Yes,Improper storage of employee food/drink(s). (inside of walk-in freezer) (corrected)  ,605,5
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,9,Handling of food (ice) minimized. Dispensing utensils properly stored during use.,No,Utensil handle in contact with food.  ,605,6
91975,2018/04/23 04:00:00+00,1373797,FOOD SERVICE,RIVIERA MAYA,8104,NATIONAL TURNPIKE,LOUISVILLE,KY,40214,REGULAR,78,34,"Premises main, free of litter, misc. articles, cleaning/maint. equip. properly stored. Authorized personnel rooms clean, lockers provided, located, used",No,"Employee personal items improperly stored. (purse, phone)  ",605,7
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,1,"SOURCE, RECORDS, CONDITION, SPOILAGE, ADULTERATED",Yes,Grade ``A`` dairy out of date. (7 gallons of milk - discarded)  ,605,8
100462,2018/07/31 04:00:00+00,1401473,FOOD SERVICE,HIGHLAND MORNING ST. MATTHEWS,111,ST MATTHEWS AVE,LOUISVILLE,KY,40207,REGULAR,76,23,"Installed, maintained",No,Plumbing not maintained in good repair. (hand sink)  ,605,9
34897,2018/05/16 04:00:00+00,1380005,FOOD SERVICE,FRISCH'S BIG BOY #153,1710,LINCOLN AVE,LOUISVILLE,KY,40213,REGULAR,76,3,POTENTIALLY HAZARDOUS FOOD-SAFE TEMP.,Yes,Potentially hazardous food not maintained at 41 degrees Fahrenheit or below at all times except during necessary periods of preparation and service. (hamburger patties - discarded)  ,605,10
