EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
31404,1704512,REGULAR,IROQUOIS HIGH SCHOOL,,4615 TAYLOR BLVD,,LOUISVILLE,KY,40215,SCHOOL CAFETERIA OR FOOD SERVICE,9/28/22 0:00,100,A,IROQUOIS HIGH SCHOOL,,1
31407,1671139,SURVEY,WESLEY MANOR,,5012 E MANSLICK RD,,LOUISVILLE,KY,40219,FOOD SERVICE (HOSPITAL / NURSING HOME,4/14/22 0:00,0,,WESLEY MANOR,,3
31407,1697970,REGULAR,WESLEY MANOR,,5012 E MANSLICK RD,,LOUISVILLE,KY,40219,FOOD SERVICE (HOSPITAL / NURSING HOME,8/30/22 0:00,100,A,WESLEY MANOR,,4
31409,1686588,REGULAR,WESTMINSTER TERRACE,,2116 BUECHEL BANK RD,,LOUISVILLE,KY,40218,FOOD SERVICE (HOSPITAL / NURSING HOME,7/15/22 0:00,98,A,WESTMINSTER TERRACE,,6
31410,1667903,REGULAR,NAZARETH HOME,,2000 NEWBURG RD,,LOUISVILLE,KY,40205,FOOD SERVICE (HOSPITAL / NURSING HOME,4/26/22 0:00,93,A,NAZARETH HOME,,8
31410,1672887,COMPLAINT,NAZARETH HOME,,2000 NEWBURG RD,,LOUISVILLE,KY,40205,FOOD SERVICE (HOSPITAL / NURSING HOME,4/26/22 0:00,0,,NAZARETH HOME,,9
31410,1672888,FOLLOWUP,NAZARETH HOME,,2000 NEWBURG RD,,LOUISVILLE,KY,40205,FOOD SERVICE (HOSPITAL / NURSING HOME,5/3/22 0:00,0,,NAZARETH HOME,,10
31410,1706999,REGULAR,NAZARETH HOME,,2000 NEWBURG RD,,LOUISVILLE,KY,40205,FOOD SERVICE (HOSPITAL / NURSING HOME,10/6/22 0:00,95,C,NAZARETH HOME,,11
31410,1708723,FOLLOWUP,NAZARETH HOME,,2000 NEWBURG RD,,LOUISVILLE,KY,40205,FOOD SERVICE (HOSPITAL / NURSING HOME,10/12/22 0:00,100,A,NAZARETH HOME,,12
32571,1666231,REGULAR,LOGAN'S ROADHOUSE,,5229 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,4/19/22 0:00,95,A,LOGAN'S ROADHOUSE,,13
31414,1709025,REGULAR,BLUE LICK ELEMENTARY SCHOOL,,9801 BLUE LICK RD,,LOUISVILLE,KY,40229,SCHOOL CAFETERIA OR FOOD SERVICE,10/13/22 0:00,99,A,BLUE LICK ELEMENTARY SCHOOL,,14
31415,1661452,REGULAR,BOWEN ELEMENTARY SCHOOL,,1601 ROOSEVELT LN,,LOUISVILLE,KY,40242,SCHOOL CAFETERIA OR FOOD SERVICE,3/28/22 0:00,100,A,BOWEN ELEMENTARY SCHOOL,,16
32571,1709812,REGULAR,LOGAN'S ROADHOUSE,,5229 DIXIE HWY,,LOUISVILLE,KY,40216,FOOD SERVICE,10/17/22 0:00,92,A,LOGAN'S ROADHOUSE,,17
32578,1701238,REGULAR,WHITE CASTLE #19,,7400 DIXIE HWY,,LOUISVILLE,KY,40258,FOOD SERVICE,9/13/22 0:00,96,A,WHITE CASTLE #19,,18
31415,1701542,REGULAR,BOWEN ELEMENTARY SCHOOL,,1601 ROOSEVELT LN,,LOUISVILLE,KY,40242,SCHOOL CAFETERIA OR FOOD SERVICE,9/14/22 0:00,100,A,BOWEN ELEMENTARY SCHOOL,,19
32579,1691802,REGULAR,BONNIE & CLYDE'S PIZZA,,7611 DIXIE HWY,,LOUISVILLE,KY,40258,FOOD SERVICE,8/4/22 0:00,96,A,BONNIE & CLYDE'S PIZZA,,22
31417,1696511,REGULAR,BRECKINRIDGE METROPOLITAN HIGH,,1128 E BROADWAY,,LOUISVILLE,KY,40204,SCHOOL CAFETERIA OR FOOD SERVICE,8/24/22 0:00,100,A,BRECKINRIDGE METROPOLITAN HIGH,,23
31418,1703322,REGULAR,DUBOIS ACADEMY,,3307 E INDIAN TRAIL,,LOUISVILLE,KY,40213,SCHOOL CAFETERIA OR FOOD SERVICE,9/22/22 0:00,98,A,DUBOIS ACADEMY,,24
31797,1700706,REGULAR,VALLEY HIGH SCHOOL,,10200 DIXIE HWY,,LOUISVILLE,KY,40272,SCHOOL CAFETERIA OR FOOD SERVICE,9/12/22 0:00,100,A,VALLEY HIGH SCHOOL,,25
32604,1666534,REGULAR,MOBY DICK,,9150 DIXIE HWY,,LOUISVILLE,KY,40272,FOOD SERVICE,4/20/22 0:00,100,A,MOBY DICK,,28
31419,1700819,REGULAR,BUTLER HIGH SCHOOL,,2222 CRUMS LN,,LOUISVILLE,KY,40216,SCHOOL CAFETERIA OR FOOD SERVICE,9/12/22 0:00,99,A,BUTLER HIGH SCHOOL,,30
32604,1710306,REGULAR,MOBY DICK,,9150 DIXIE HWY,,LOUISVILLE,KY,40272,FOOD SERVICE,10/18/22 0:00,100,A,MOBY DICK,,31
31798,1710726,REGULAR,SLAUGHTER ELEMENTARY SCHOOL,,3805 FERN VALLEY RD,,LOUISVILLE,KY,40219,SCHOOL CAFETERIA OR FOOD SERVICE,10/19/22 0:00,100,A,SLAUGHTER ELEMENTARY SCHOOL,,32
32609,1684232,REGULAR,CAPTAIN D'S #3532,,10101 DIXIE HWY,,LOUISVILLE,KY,40272,FOOD SERVICE,7/5/22 0:00,95,A,CAPTAIN D'S #3532,,33
31799,1698950,REGULAR,SMYRNA ELEMENTARY SCHOOL,,6401 OUTER LOOP,,LOUISVILLE,KY,40228,SCHOOL CAFETERIA OR FOOD SERVICE,9/2/22 0:00,100,A,SMYRNA ELEMENTARY SCHOOL,,35
31421,1706783,REGULAR,BYCK ELEMENTARY SCHOOL,,2328 CEDAR ST,,LOUISVILLE,KY,40212,SCHOOL CAFETERIA OR FOOD SERVICE,10/6/22 0:00,100,A,BYCK ELEMENTARY SCHOOL,,37
32613,1669262,REGULAR,DIXIE BOWL,,10526 DIXIE HWY,,LOUISVILLE,KY,40272,FOOD SERVICE,5/2/22 0:00,97,A,DIXIE BOWL,,39
31802,1665902,REGULAR,WALDEN SCHOOL,,4238 WESTPORT RD,,LOUISVILLE,KY,40207,SCHOOL CAFETERIA OR FOOD SERVICE,4/18/22 0:00,100,A,WALDEN SCHOOL,,41
31422,1696509,REGULAR,DEPAUL SCHOOL,,1925 DUKER AVE,,LOUISVILLE,KY,40205,SCHOOL CAFETERIA OR FOOD SERVICE,8/24/22 0:00,95,A,DEPAUL SCHOOL,,43
31424,1695917,REGULAR,MEDORA ELEMENTARY SCHOOL,,11801 DEERING RD,,LOUISVILLE,KY,40272,SCHOOL CAFETERIA OR FOOD SERVICE,8/22/22 0:00,100,A,MEDORA ELEMENTARY SCHOOL,,45
31428,1703792,REGULAR,MEYZEEK SCHOOL,,828 S JACKSON ST,,LOUISVILLE,KY,40203,SCHOOL CAFETERIA OR FOOD SERVICE,9/26/22 0:00,100,A,MEYZEEK SCHOOL,,47
31429,1662149,REGULAR,MIDDLETOWN ELEMENTARY SCHOOL,,218 N MADISON AVE,,LOUISVILLE,KY,40243,SCHOOL CAFETERIA OR FOOD SERVICE,3/30/22 0:00,100,A,MIDDLETOWN ELEMENTARY SCHOOL,,48
31429,1704225,REGULAR,MIDDLETOWN ELEMENTARY SCHOOL,,218 N MADISON AVE,,LOUISVILLE,KY,40243,SCHOOL CAFETERIA OR FOOD SERVICE,9/27/22 0:00,100,A,MIDDLETOWN ELEMENTARY SCHOOL,,49
31432,1703881,REGULAR,MILLCREEK ELEMENTARY SCHOOL,,3816 DIXIE HWY,,LOUISVILLE,KY,40216,SCHOOL CAFETERIA OR FOOD SERVICE,9/26/22 0:00,99,A,MILLCREEK ELEMENTARY SCHOOL,,51
31433,1666524,REGULAR,MINORS LANE ELEMENTARY SCHOOL,,8510 MINORS LN,,LOUISVILLE,KY,40219,SCHOOL CAFETERIA OR FOOD SERVICE,4/20/22 0:00,100,A,MINORS LANE ELEMENTARY SCHOOL,,53
31433,1709917,REGULAR,MINORS LANE ELEMENTARY SCHOOL,,8510 MINORS LN,,LOUISVILLE,KY,40219,SCHOOL CAFETERIA OR FOOD SERVICE,10/17/22 0:00,99,A,MINORS LANE ELEMENTARY SCHOOL,,54
31435,1661821,FOLLOWUP,MOORE HIGH SCHOOL,,6415 OUTER LOOP,,LOUISVILLE,KY,40228,SCHOOL CAFETERIA OR FOOD SERVICE,3/29/22 0:00,99,A,MOORE HIGH SCHOOL,,55
31435,1699313,REGULAR,MOORE HIGH SCHOOL,,6415 OUTER LOOP,,LOUISVILLE,KY,40228,SCHOOL CAFETERIA OR FOOD SERVICE,9/6/22 0:00,99,A,MOORE HIGH SCHOOL,,56
31446,1706802,REGULAR,NEWBURG MIDDLE SCHOOL,,4901 EXETER AVE,,LOUISVILLE,KY,40218,SCHOOL CAFETERIA OR FOOD SERVICE,10/6/22 0:00,97,A,NEWBURG MIDDLE SCHOOL,,58
31452,1694673,REGULAR,NOE MIDDLE SCHOOL,,121 W LEE ST,,LOUISVILLE,KY,40208,SCHOOL CAFETERIA OR FOOD SERVICE,8/16/22 0:00,99,A,NOE MIDDLE SCHOOL,,59
31455,1694262,REGULAR,NORTON ELEMENTARY SCHOOL,,8101 BROWNSBORO RD,,LOUISVILLE,KY,40241,SCHOOL CAFETERIA OR FOOD SERVICE,8/15/22 0:00,100,A,NORTON ELEMENTARY SCHOOL,,61
31456,1701874,REGULAR,OKOLONA ELEMENTARY SCHOOL,,7606 PRESTON HWY,,LOUISVILLE,KY,40219,SCHOOL CAFETERIA OR FOOD SERVICE,9/15/22 0:00,100,A,OKOLONA ELEMENTARY SCHOOL,,63
31458,1671643,REGULAR,OUR LADY OF LOURDES,,510 BRECKENRIDGE LN,,LOUISVILLE,KY,40207,SCHOOL CAFETERIA OR FOOD SERVICE,5/11/22 0:00,100,A,OUR LADY OF LOURDES,,65
31458,1709111,REGULAR,OUR LADY OF LOURDES,,510 BRECKENRIDGE LN,,LOUISVILLE,KY,40207,SCHOOL CAFETERIA OR FOOD SERVICE,10/13/22 0:00,100,A,OUR LADY OF LOURDES,,66
31335,1677041,REGULAR,ALTENHEIM,,936 BARRET AVE,,LOUISVILLE,KY,40204,FOOD SERVICE (HOSPITAL / NURSING HOME,6/3/22 0:00,96,A,ALTENHEIM,,68
31460,1709976,REGULAR,ST. NICHOLAS ACADEMY,,5501 NEW CUT RD,,LOUISVILLE,KY,40214,SCHOOL CAFETERIA OR FOOD SERVICE,10/18/22 0:00,100,A,ST. NICHOLAS ACADEMY,,69
31462,1704589,REGULAR,MAUPIN ELEMENTARY SCHOOL,,1312 CATALPA ST,,LOUISVILLE,KY,40211,SCHOOL CAFETERIA OR FOOD SERVICE,9/28/22 0:00,100,A,MAUPIN ELEMENTARY SCHOOL,,70
31464,1704588,REGULAR,JOHNSON TRADITIONAL MIDDLE SCHOOL,,2509 WILSON AVE,,LOUISVILLE,KY,40210,SCHOOL CAFETERIA OR FOOD SERVICE,9/28/22 0:00,99,A,JOHNSON TRADITIONAL MIDDLE SCHOOL,,73
31803,1695006,REGULAR,STONESTREET ELEMENTARY,,10007 STONESTREET RD,,LOUISVILLE,KY,40272,SCHOOL CAFETERIA OR FOOD SERVICE,8/17/22 0:00,100,A,STONESTREET ELEMENTARY,,74
31336,1705612,REGULAR,MASONIC HOMES MAIN KITCHEN,,240 MASONIC HOME DR,,MASONIC HOME,KY,40041,FOOD SERVICE (HOSPITAL / NURSING HOME,10/3/22 0:00,100,A,MASONIC HOMES MAIN KITCHEN,,75
32659,1664132,REGULAR,BIG SPRING MAIN KITCHEN,,5901 DUTCHMANS LN,,LOUISVILLE,KY,40205,FOOD SERVICE,4/8/22 0:00,98,A,BIG SPRING MAIN KITCHEN,,77
31337,1690966,REGULAR,SIGNATURE HEALTHCARE OF EAST LOUISVILLE,,2529 SIX MILE LN,,LOUISVILLE,KY,40220,FOOD SERVICE (HOSPITAL / NURSING HOME,8/2/22 0:00,97,A,SIGNATURE HEALTHCARE OF EAST LOUISVILLE,,79
31466,1698664,REGULAR,PLEASURE RIDGE PARK MAGNET SCHOOL,,5901 GREENWOOD RD,,LOUISVILLE,KY,40258,SCHOOL CAFETERIA OR FOOD SERVICE,9/1/22 0:00,100,A,PLEASURE RIDGE PARK MAGNET SCHOOL,,80
32659,1705003,REGULAR,BIG SPRING MAIN KITCHEN,,5901 DUTCHMANS LN,,LOUISVILLE,KY,40205,FOOD SERVICE,9/29/22 0:00,98,A,BIG SPRING MAIN KITCHEN,,81
31804,1694330,REGULAR,STUART MIDDLE SCHOOL,,4601 VALLEY STATION RD,,LOUISVILLE,KY,40272,SCHOOL CAFETERIA OR FOOD SERVICE,8/15/22 0:00,100,A,STUART MIDDLE SCHOOL,,82
31474,1707207,REGULAR,PORTLAND ELEMENTARY SCHOOL,,3410 NORTHWESTERN PKWY,,LOUISVILLE,KY,40212,SCHOOL CAFETERIA OR FOOD SERVICE,10/7/22 0:00,100,A,PORTLAND ELEMENTARY SCHOOL,,88
32692,1665842,REGULAR,ST. MATHEWS ELEMENTARY SCHOOL,,601 BROWNS LN,,LOUISVILLE,KY,40207,SCHOOL CAFETERIA OR FOOD SERVICE,4/18/22 0:00,100,A,ST. MATHEWS ELEMENTARY SCHOOL,,89
31805,1694339,REGULAR,BROWN SCHOOL CAFETERIA,,546 S 1ST ST,,LOUISVILLE,KY,40202,SCHOOL CAFETERIA OR FOOD SERVICE,8/15/22 0:00,100,A,BROWN SCHOOL CAFETERIA,,90
31360,1665596,REGULAR,LA PETITE ACADEMY,,9505 US HWY 42,,LOUISVILLE,KY,40059,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,4/15/22 0:00,99,A,LA PETITE ACADEMY,,91
32692,1698086,REGULAR,ST. MATHEWS ELEMENTARY SCHOOL,,601 BROWNS LN,,LOUISVILLE,KY,40207,SCHOOL CAFETERIA OR FOOD SERVICE,8/31/22 0:00,100,A,ST. MATHEWS ELEMENTARY SCHOOL,,93
32694,1700038,REGULAR,ST. PAUL ELEMENTARY CATHOLIC SCHOOL,,6901 DIXIE HWY,,LOUISVILLE,KY,40258,SCHOOL CAFETERIA OR FOOD SERVICE,9/8/22 0:00,100,A,ST. PAUL ELEMENTARY CATHOLIC SCHOOL,,95
32695,1698469,REGULAR,JOHN PAUL II,,3521 GOLDSMITH LN,,LOUISVILLE,KY,40220,SCHOOL CAFETERIA OR FOOD SERVICE,9/1/22 0:00,100,A,JOHN PAUL II,,97
32696,1700708,REGULAR,ST. ANDREW CATHOLIC ACADEMY,,7724 COLUMBINE DR,,LOUISVILLE,KY,40258,SCHOOL CAFETERIA OR FOOD SERVICE,9/12/22 0:00,99,A,ST. ANDREW CATHOLIC ACADEMY,,99
32697,1673655,REGULAR,ST. RAPHAEL SCHOOL,,2131 LANCASHIRE AVE,,LOUISVILLE,KY,40205,SCHOOL CAFETERIA OR FOOD SERVICE,5/20/22 0:00,99,A,ST. RAPHAEL SCHOOL,,101
32697,1707274,REGULAR,ST. RAPHAEL SCHOOL,,2131 LANCASHIRE AVE,,LOUISVILLE,KY,40205,SCHOOL CAFETERIA OR FOOD SERVICE,10/7/22 0:00,98,A,ST. RAPHAEL SCHOOL,,102
32698,1701195,REGULAR,ST. RITA SCHOOL,,8709 PRESTON HWY,,LOUISVILLE,KY,40219,SCHOOL CAFETERIA OR FOOD SERVICE,9/13/22 0:00,99,A,ST. RITA SCHOOL,,104
